Full Product Name,Brand,Name,Speed,Control,Stiffness,Overall,Price,Ratings
Butterfly Iolite Neo,Butterfly,Iolite Neo,9.5,8.5,5.7,9.4,$155.00,15
Butterfly Ishlion,Butterfly,Ishlion,9,8.2,6.7,8.8,$150.00,16
Butterfly Jonyer Hinoki,Butterfly,Jonyer Hinoki,7.4,8.6,3.6,8.3,$170.00,22
Butterfly Jonyer Hinoki Special,Butterfly,Jonyer Hinoki Special,7.5,8.2,4,8.4,$134.00,6
Butterfly Joo Se Hyuk,Butterfly,Joo Se Hyuk,7.3,8.8,6.1,9.1,$95.00,31
Butterfly Jun Mizutani,Butterfly,Jun Mizutani,9.5,8.8,6,9.4,$249.00,39
Butterfly Jun Mizutani Super ZLC,Butterfly,Jun Mizutani Super ZLC,9.6,8.9,6.7,9.4,$374.00,24
Butterfly Jun Mizutani ZLC,Butterfly,Jun Mizutani ZLC,9.1,9,5.8,9.4,$249.00,10
Butterfly Kazan,Butterfly,Kazan,7,8,7,7.5,,2
Butterfly Kenny Pro,Butterfly,Kenny Pro,6.8,8.2,5,7.1,$100.00,1
Butterfly Kenta Matsudaira ALC,Butterfly,Kenta Matsudaira ALC,8.7,9.3,3.3,8.8,$189.00,4
Butterfly Keyshot,Butterfly,Keyshot,8.3,8.6,5.4,9.4,$189.00,8
Butterfly Keyshot Alpha,Butterfly,Keyshot Alpha,8.7,8.6,5,9.5,,4
